"Part";"Value";"Device";"Package";"Description";"CASE";"CODE-ARDUINO";"DATASHEET";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"MANUFACTURER";"MANUFACTURER-PN";"MANUFCATURER";"MONTHLY_USAGE";"PART_NUMBER";"PRICE";"SUPPLIER";"TYPE";"VALUE";
"FD2";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"";"";"";"";"";"DNP";
"FD3";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"";"";"";"";"";"DNP";
"FRAME1";"DNP";"A3-FRAME-STANDARD";"FRAME";"Schematic frame";"";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";"";"";"";"";"";"";"DNP";
"GROUND";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ICSP";"3x2 M";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ICSP1";"3x2 M";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"-";"PINHD-1X14-CUSTOM";"1X14-CUSTOM";"PIN HEADER";"";"";"-";"";"-";"-";"-";"";"";"";"";"";"";"-";
"J2";"-";"PINHD-1X18";"1X18-CUSTOM";"";"";"";"-";"-";"-";"";"-";"-";"";"";"";"";"";"-";
"JP2";"2x2 M-NM";"PINHD-2X2";"2X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L";"YELLOW";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"BLM21";"WE-CBF_0805";"0805";"SMD EMI Suppression Ferrite Beads";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"10uH";"0715_CV201210-100K";"0805";"10uH 0805";"0805";"";"";"";"";"";"";"";"_____";"CV201210-100K";"_____";"_____";"Induttanze";"10uH";
"ON";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ORIGIN";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PC1";"47u";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PC2";"47u";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"1M";"R-EU_R0603";"R0603-ROUND";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"1M";"R-EU_R0603";"R0603-ROUND";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RESET";"TS42031-160R-TR-7260";"TS42";"TS42";"TS42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RESET-EN";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN1";"10K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN2";"1K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN3";"22R";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN4";"1K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RX";"YELLOW";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T1";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_5V1";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_CMP";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_DTR";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_GATE";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_LCMD";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_LL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_MISO2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_MOSI2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_ONL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_RESET2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_RX";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_RXL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_SCK2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_TX";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_TXL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_USBVCC";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_USH";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_VUCAP";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TX";"YELLOW";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"NCP1117ST50T3G";"MC33269ST-3.3T3";"SOT223";"Adjustable Output Low Dropout Voltage Regulator 800 mA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"LP2985-33DBVR";"LP2985-XXDBVR33";"SOT23-DBV";"ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"16U2";"ATMEGA16U2";"ATMEL_QFN32";"AVR AVR® ATmega Microcontroller IC 8-Bit 16MHz 16KB (8K x 16) FLASH 32-VQFN (5x5)";"";"";"http://www.digikey.com/product-detail/en/atmel/ATMEGA16U2-MU/ATMEGA16U2-MU-ND/2050821";"http://www.digikey.com/product-detail/en/atmel/ATMEGA16U2-MU/ATMEGA16U2-MU-ND/2050821";"ATMEGA16U2-MU-ND";"ATMEL";"ATMEGA16U2-MU";"";"";"";"";"";"";"16U2";
"U4";"ATMEGA328P-MU";"ATMEGAXX8-MUR";"MLF32";"MICROCONTROLLER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U5";"LMV358IDGKR";"LMV358MMX";"MSOP08";"Dual General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC-21MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"USB-B_TH";"PN61729";"PN61729";"BERG USB connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y1";"16MHz";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y2";"CSTCE16M0V53-R0 16MHZ";"RESONATORMU";"RESONATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Z1";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Z2";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
