"Part";"Value";"Device";"Package";"Description";"CASE";"CODE-ARDUINO";"DATASHEET";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"MANUFACTURER";"MANUFACTURER-PN";"MONTHLY_USAGE";"NOTE";"PART_NUMBER";"PRICE";"SUPPLIER";"TYPE";"VALUE";
"RESET-EN";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN1";"10K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN2";"1K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN3";"22R";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RN4";"1K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RX";"YELLOW";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T1";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_0";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_1";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_3";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_3V3";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_4";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_5";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_5V";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_5V1";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_6";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_7";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_8";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_9";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_10";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_11";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_12";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_13";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_A0";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_A1";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_A2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_A3";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_A4";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_A5";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_AREF";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_CMP";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_D+";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_D-";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_DTR";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_GATE";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_LCMD";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_LL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_MISO2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_MOSI2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_ONL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_PB4";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_PB5";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_PB6";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_PB7";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_PWRIN";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_RESET";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_RESET2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_RX";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_RXL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_SCK2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_SCL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_SDA";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_TX";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_TXL";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_UGND";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_USBVCC";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_USH";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_VIN";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_VUCAP";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_XT1";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_XT2";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_XT3";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_XT4";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_XUSB";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TX";"YELLOW";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"NCP1117ST50T3G";"MC33269ST-3.3T3";"SOT223";"Adjustable Output Low Dropout Voltage Regulator 800 mA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"LP2985-33DBVR";"LP2985-XXDBVR33";"SOT23-DBV";"ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"ATMEGA16U2-MU(R)";"ATMEGA16U2-MU";"MLF32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U5";"LMV358IDGKR";"LMV358MMX";"MSOP08";"Dual General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC-21MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"USB-B_TH";"PN61729";"PN61729";"BERG USB connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y1";"16MHz";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y2";"CSTCE16M0V53-R0 16MHZ";"RESONATORMU";"RESONATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Z1";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Z2";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ZU4";"ATMEGA328P-PU";"ATMEGA328P-PU";"DIL28-3";"MICROCONTROLLER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
